district,sat_score,average_score_SAT_reading,average_score_SAT_math,asian_count,black_count,enrollment,hispanic_count,homeless_count,sat_math_college_ready_count,sat_reading_college_ready_count,white_count,pct_asian,pct_white,pct_black,pct_hispanic,pct_homeless,pct_college_ready_math_SAT,pct_college_ready_reading_SAT,pct_non_white
1,1092.6,542.6,549.98,599.271,409.733,2407,775.416,199.379,1534.844,1814.29,561.676,24.9,23.34,17.02,32.22,8.28,63.77,75.38,49.24
2,997.5,500.38,497.09,5822.301,6154.331,31788,14342.151,3182.588,12996.99,18413.963,4519.287,18.32,14.22,19.36,45.12,10.01,40.89,57.93,64.48
3,997.8,502.32,495.49,919.325,1686.094,8240,2735.646,592.758,4343.426,5326.642,2410.064,11.16,29.25,20.46,33.2,7.19,52.71,64.64,53.66
4,1004.9,500.85,504.07,488.841,738.171,3528,2074.62,370.796,1867.898,2300.719,155.578,13.86,4.41,20.92,58.8,10.51,52.94,65.21,79.73
5,1041.4,519.83,521.6,228.624,1598.296,3395,1121.99,395.079,814.935,1344.189,302.694,6.73,8.92,47.08,33.05,11.64,24,39.59,80.13
6,901.1,448.83,452.22,111.382,718.973,5327,4360.282,1147.09,1001.215,1772.339,89.87,2.09,1.69,13.5,81.85,21.53,18.8,33.27,95.35
7,882.9,443.68,439.21,93.981,1612.146,6021,4134.204,1040.763,716.163,1554.872,90.644,1.56,1.51,26.78,68.66,17.29,11.89,25.82,95.44
8,878.2,440.73,437.45,441.428,1681.8,6563,3988.878,1102.821,680.268,1532.814,351.734,6.73,5.36,25.63,60.78,16.8,10.37,23.36,86.4
9,895.4,449.93,445.45,169.025,2130.905,7975,5462.407,1665.467,1178.807,2334.619,126.107,2.12,1.58,26.72,68.49,20.88,14.78,29.27,95.21
10,937.3,470.77,466.55,2549.952,2541.466,14871,8129.312,2134.947,5046.604,6979.723,1365.422,17.15,9.18,17.09,54.67,14.36,33.94,46.94,71.76
11,889.8,448.59,441.24,512.55,3363.297,8708,4146.127,1351.093,1166.522,2688.66,528.264,5.89,6.07,38.62,47.61,15.52,13.4,30.88,86.24
12,856.8,429.58,427.18,121.996,1222.808,5043,3544.39,944.218,398.122,973.311,80.39,2.42,1.59,24.25,70.28,18.72,7.89,19.3,94.53
13,955.5,480.12,475.38,3903.281,3866.575,11150,1509.212,743.921,6985.024,8075.451,1640.012,35.01,14.71,34.68,13.54,6.67,62.65,72.43,48.21
14,919.4,464.35,455.09,510.388,1601.781,6003,3449.856,700.532,1415.768,2330.338,297.474,8.5,4.96,26.68,57.47,11.67,23.58,38.82,84.15
15,935.4,470.21,465.15,381.906,2225.256,5703,2203.892,480.026,1387.438,2475.146,700.387,6.7,12.28,39.02,38.64,8.42,24.33,43.4,77.66
16,860.1,434.1,426,41.129,1016.695,1385,263.063,213.379,101.044,293.514,25.471,2.97,1.84,73.41,18.99,15.41,7.3,21.19,92.4
17,907.3,459.99,447.33,221.031,5571.887,6991,929.781,849.71,1389.332,2780.357,129.921,3.16,1.86,79.7,13.3,12.15,19.87,39.77,93
18,873.6,442.54,431.01,76.009,2797.747,3379,333.457,360.588,323.572,897.851,120.334,2.25,3.56,82.8,9.87,10.67,9.58,26.57,92.67
19,865.5,436.36,429.1,276.138,2612.19,5184,2054.876,766.978,494.651,1271.239,116.175,5.33,2.24,50.39,39.64,14.8,9.54,24.52,90.03
20,1017.7,493.82,523.84,4324.632,683.664,12762,4221.07,1097.228,5293.492,6048.396,3344.011,33.89,26.2,5.36,33.08,8.6,41.48,47.39,38.43
21,945.4,468.67,476.7,2394.926,3024.925,11057,2633.659,1069.091,3794.456,5131.564,2723.781,21.66,24.63,27.36,23.82,9.67,34.32,46.41,51.18
22,1092.2,538.32,553.92,2662.842,2442.94,10084,1409.773,654.7,5970.268,6989.53,3393.327,26.41,33.65,24.23,13.98,6.49,59.21,69.31,38.21
23,876.4,443.38,433.03,14.085,802.975,940,105.93,161.15,98.143,265.005,6.947,1.5,0.74,85.42,11.27,17.14,10.44,28.19,96.69
24,984.2,486.68,497.51,2673.442,707.384,13620,8251.676,980.462,5212.23,6716.795,1627.846,19.63,11.95,5.19,60.58,7.2,38.27,49.32,65.78
25,1040.4,507.32,533.04,3093.311,1344.275,9430,3811.054,656.474,3626.606,4553.301,877.933,32.8,9.31,14.26,40.41,6.96,38.46,48.29,54.67
26,1037.6,512.03,525.55,5833.413,2740.344,13702,2891.991,692.684,7368.536,8855.423,1870.834,42.57,13.65,20,21.11,5.06,53.78,64.63,41.11
27,927.4,467.66,459.76,2315.656,2525.162,9807,3555.111,786.095,2230.571,3752.862,894.231,23.61,9.12,25.75,36.25,8.02,22.74,38.27,62
28,1055.9,524.41,531.51,4602.402,3055.971,14749,4312.045,901.56,6151.465,8318.102,1994.449,31.2,13.52,20.72,29.24,6.11,41.71,56.4,49.96
29,890.7,451.38,439.32,331.506,3256.567,4260,446.697,419.892,526.494,1261.918,68.954,7.78,1.62,76.45,10.49,9.86,12.36,29.62,86.93
30,1041.5,517.5,523.99,2168.215,827.277,10122,5330.58,788.897,3595.742,4981.989,1556.638,21.42,15.38,8.17,52.66,7.79,35.52,49.22,60.84
31,1062.6,530.98,531.66,2154.212,2453.715,17805,4658.496,893.707,7362.949,10316.896,8245.035,12.1,46.31,13.78,26.16,5.02,41.35,57.94,39.95
32,890.2,439.71,450.44,47.159,416.108,2112,1568.76,327.822,357.522,548.702,57.964,2.23,2.74,19.7,74.28,15.52,16.93,25.98,93.98