year,district,DBN,school_name,average_score_SAT_math,average_score_SAT_reading,students_SAT_math_college_ready,students_SAT_reading_college_ready,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,ELL,disability,self_contained,economic_need_index,temp_housing,HRA_eligible,asian,black,hispanic,white,student_attendance_rate,chronically_absent
2019,1,01M292,Orchard Collegiate Academy,448.4,438,0.107,0.179,197,2.7,2.33,0.117,0.289,0.005,0.87,0.183,0.782,0.096,0.269,0.569,0.03,0.917,0.289
2019,1,01M448,University Neighborhood High School,510.5,502.6,0.404,0.556,483,2.97,2.99,0.147,0.17,,0.83,0.18,0.723,0.369,0.195,0.383,0.046,0.909,0.274
2019,1,01M450,East Side Community School,525.2,527,0.404,0.734,370,3.07,3.06,0.016,0.246,,0.68,0.084,0.541,0.13,0.192,0.522,0.124,0.938,0.146
2019,1,01M509,Marta Valle High School,467.3,472,0.194,0.472,127,2.79,2.36,0.063,0.276,0.047,0.81,0.134,0.74,0.071,0.37,0.512,0.024,0.796,0.628
2019,1,01M539,"New Explorations into Science, Technology and Math",679.4,646.2,0.921,0.964,615,3.7,3.9,0.003,0.143,0.002,0.4,0.02,0.285,0.268,0.124,0.187,0.39,0.952,0.096
2019,1,01M696,Bard High School Early College,669.1,669.8,0.94,0.953,615,3.88,4.1,0.002,0.076,,0.4,0.026,0.293,0.293,0.111,0.171,0.398,0.948,0.114
2019,2,02M047,47 The American Sign Language and English Secondar,473.2,485.3,0.15,0.475,196,2.93,2.69,0.046,0.27,0.01,0.77,0.163,0.673,0.031,0.276,0.643,0.046,0.9,0.352
2019,2,02M135,The Urban Assembly School for Emergency Management,471.3,467.7,0.197,0.377,265,2.85,2.49,0.034,0.223,0.004,0.81,0.158,0.702,0.06,0.283,0.6,0.034,0.86,0.465
2019,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,439.2,446.2,0.138,0.325,401,2.74,2.59,0.072,0.257,,0.83,0.117,0.721,0.042,0.264,0.631,0.042,0.849,0.527
2019,2,02M260,The Clinton School,581.5,607.9,0.701,0.885,433,3.68,3.62,0.005,0.18,,0.25,0.009,0.152,0.111,0.055,0.143,0.628,0.946,0.149
2019,2,02M280,Manhattan Early College School for Advertising,486.8,496,0.238,0.513,416,2.98,2.8,0.038,0.183,,0.72,0.115,0.603,0.099,0.361,0.45,0.053,0.892,0.327
2019,2,02M282,Urban Assembly Maker Academy,495.1,501.3,0.299,0.532,390,2.94,2.81,0.038,0.19,0.003,0.72,0.087,0.608,0.082,0.269,0.497,0.108,0.889,0.329
2019,2,02M288,Food and Finance High School,422.9,441.2,0.11,0.256,375,2.81,2.62,0.032,0.197,0.003,0.78,0.104,0.683,0.059,0.36,0.539,0.029,0.88,0.395
2019,2,02M294,Essex Street Academy,438.2,461.2,0.057,0.357,339,2.97,2.65,0.035,0.271,,0.69,0.088,0.563,0.062,0.345,0.428,0.106,0.886,0.347
2019,2,02M296,High School of Hospitality Management,434,441.4,0.08,0.26,380,2.67,2.35,0.092,0.261,0.008,0.87,0.158,0.789,0.05,0.276,0.645,0.018,0.841,0.421
2019,2,02M298,Pace High School,483.6,502,0.299,0.567,572,2.98,2.8,0.03,0.184,,0.75,0.087,0.631,0.045,0.33,0.54,0.04,0.869,0.445
2019,2,02M300,"Urban Assembly School of Design and Construction,",466.9,447.2,0.202,0.214,302,2.65,2.56,0.116,0.258,0.007,0.86,0.172,0.768,0.056,0.225,0.682,0.026,0.813,0.482
2019,2,02M303,"Facing History School, The",420,433,0.061,0.232,372,2.62,2.37,0.11,0.245,,0.86,0.172,0.766,0.011,0.255,0.699,0.022,0.8,0.566
2019,2,02M305,"Urban Assembly Academy of Government and Law, The",450.2,457.2,0.098,0.311,324,2.84,2.54,0.04,0.207,0.006,0.85,0.17,0.769,0.059,0.34,0.565,0.031,0.852,0.464
2019,2,02M308,Lower Manhattan Arts Academy,449.4,460.6,0.123,0.415,290,2.7,2.34,0.069,0.366,0.021,0.82,0.145,0.693,0.086,0.286,0.583,0.028,0.868,0.438
2019,2,02M316,"Urban Assembly School of Business for Young Women,",457.4,479.5,0.128,0.362,179,2.93,2.56,0.073,0.168,,0.84,0.128,0.76,0.056,0.492,0.374,0.034,0.811,0.513
2019,2,02M374,Gramercy Arts High School,482.1,500.9,0.239,0.606,468,3.11,2.82,0.021,0.171,0.006,0.76,0.098,0.652,0.045,0.327,0.519,0.064,0.838,0.496
2019,2,02M376,NYC iSchool,578.4,581.3,0.56,0.642,466,3.67,3.7,0.011,0.165,0.004,0.34,0.047,0.212,0.084,0.148,0.223,0.487,0.947,0.114
2019,2,02M392,Manhattan Business Academy,479.5,486.6,0.217,0.511,414,2.87,2.66,0.063,0.21,0.002,0.81,0.147,0.71,0.063,0.225,0.65,0.046,0.848,0.454
2019,2,02M393,Business Of Sports School,454.8,449.8,0.066,0.253,429,2.59,2.37,0.082,0.242,0.002,0.8,0.152,0.688,0.012,0.329,0.611,0.03,0.847,0.513
2019,2,02M399,The High School For Language And Diplomacy,468.7,457,0.226,0.333,302,2.85,2.79,0.109,0.175,0.01,0.83,0.123,0.725,0.242,0.232,0.464,0.033,0.83,0.472
2019,2,02M400,High School for Environmental Studies,509.4,502.5,0.361,0.496,1146,2.98,2.91,0.087,0.189,0.02,0.79,0.111,0.681,0.111,0.161,0.649,0.065,0.861,0.35
2019,2,02M407,Institute for Collaborative Education,567.8,607.2,0.672,0.836,277,2.92,2.77,0.007,0.191,,0.39,0.065,0.253,0.061,0.217,0.202,0.487,0.916,0.176
2019,2,02M408,Professional Performing Arts High School,540.3,557.8,0.56,0.78,435,3.47,3.42,0.002,0.145,,0.4,0.048,0.239,0.076,0.225,0.209,0.432,0.933,0.183
2019,2,02M411,Baruch College Campus High School,636.2,609,0.768,0.83,475,3.74,3.91,0.011,0.118,0.002,0.4,0.059,0.312,0.354,0.036,0.137,0.432,0.96,0.082
2019,2,02M412,N.Y.C. Lab School for Collaborative Studies,607.1,599.7,0.73,0.783,471,3.74,3.85,0.006,0.206,,0.3,0.025,0.206,0.191,0.036,0.123,0.575,0.938,0.16
2019,2,02M413,School of the Future High School,548.9,558.3,0.606,0.872,445,3.37,3.39,0.002,0.196,,0.43,0.067,0.315,0.182,0.11,0.267,0.351,0.945,0.143
2019,2,02M414,N.Y.C. Museum School,582.9,574,0.821,0.926,449,3.63,3.69,0.009,0.203,0.002,0.56,0.045,0.441,0.245,0.136,0.376,0.223,0.929,0.206
2019,2,02M416,Eleanor Roosevelt High School,697,672.4,0.914,0.938,530,4.02,4.18,,0.155,,0.2,0.009,0.13,0.158,0.026,0.1,0.675,0.968,0.055
2019,2,02M418,Millennium High School,667.8,625.7,0.936,0.943,681,3.8,3.96,0.007,0.125,,0.48,0.056,0.389,0.47,0.038,0.11,0.32,0.97,0.061
2019,2,02M419,Landmark High School,421.7,442.5,0.041,0.194,330,2.67,2.35,0.055,0.224,,0.83,0.136,0.721,0.03,0.339,0.591,0.024,0.799,0.607
2019,2,02M420,High School for Health Professions and Human Servi,530.3,511.1,0.518,0.654,1825,3.17,3.19,0.042,0.13,0.002,0.75,0.081,0.65,0.22,0.156,0.53,0.079,0.92,0.218
2019,2,02M422,Quest to Learn,472.5,495.7,0.217,0.41,378,2.84,2.58,0.037,0.28,0.003,0.65,0.114,0.553,0.119,0.204,0.431,0.209,0.864,0.423
2019,2,02M425,Leadership and Public Service High School,456.6,470.7,0.18,0.46,473,2.83,2.61,0.049,0.201,,0.83,0.123,0.746,0.085,0.268,0.59,0.036,0.832,0.501
2019,2,02M427,Manhattan Academy For Arts & Language,402.9,407.1,0.041,0.149,233,2.01,2.08,0.674,0.124,0.013,0.96,0.433,0.777,0.009,0.021,0.948,0.021,0.865,0.438
2019,2,02M432,Murray Hill Academy,440.4,445.4,0.057,0.186,304,2.65,2.41,0.039,0.25,0.003,0.82,0.151,0.724,0.059,0.306,0.53,0.066,0.804,0.55
2019,2,02M437,Hudson High School of Learning Technologies,451.4,463.9,0.131,0.374,476,2.74,2.51,0.088,0.256,0.004,0.83,0.137,0.725,0.061,0.252,0.628,0.034,0.822,0.552
2019,2,02M438,International High School at Union Square,428.7,400.3,0.075,0.075,356,1.93,2.16,0.862,0.034,,0.97,0.402,0.716,0.157,0.202,0.534,0.098,0.89,0.332
2019,2,02M439,Manhattan Village Academy,565.3,553.3,0.689,0.849,452,3.35,3.32,0.02,0.157,,0.68,0.049,0.527,0.084,0.159,0.666,0.086,0.981,0.022
2019,2,02M449,Vanguard High School,453.2,468.8,0.163,0.306,427,2.78,2.5,0.03,0.246,0.005,0.76,0.089,0.651,0.059,0.246,0.593,0.068,0.87,0.423
2019,2,02M459,Manhattan International High School,446.8,441.5,0.129,0.237,313,1.98,2.19,0.716,0.022,0.003,0.93,0.233,0.636,0.144,0.15,0.508,0.195,0.877,0.401
2019,2,02M475,Stuyvesant High School,775.9,724.8,0.963,0.963,3316,4.2,4.39,,0.005,,0.4,0.02,0.288,0.732,0.009,0.03,0.188,0.968,0.058
2019,2,02M489,High School of Economics and Finance,513.9,503.3,0.479,0.564,741,2.9,2.89,0.059,0.193,0.009,0.77,0.109,0.657,0.216,0.25,0.443,0.08,0.898,0.233
2019,2,02M500,Unity Center for Urban Technologies,418.2,441.8,0.065,0.339,278,2.73,2.53,0.068,0.237,0.004,0.88,0.18,0.795,0.083,0.259,0.612,0.04,0.804,0.55
2019,2,02M507,Urban Assembly Gateway School for Technology,513.1,501.8,0.441,0.559,456,3.01,2.93,0.035,0.224,,0.67,0.092,0.513,0.064,0.309,0.546,0.066,0.922,0.24
2019,2,02M519,Talent Unlimited High School,512.6,538.4,0.455,0.758,518,3.29,3.09,0.01,0.141,0.002,0.53,0.052,0.4,0.039,0.305,0.446,0.137,0.909,0.275
2019,2,02M520,Murry Bergtraum High School for Business Careers,433,432.2,0.111,0.175,182,2.67,2.37,0.06,0.236,0.005,0.81,0.11,0.709,0.044,0.511,0.412,0.016,0.782,0.56
2019,2,02M529,Jacqueline Kennedy Onassis High School,458.6,461.5,0.153,0.293,443,2.68,2.42,0.09,0.201,0.023,0.79,0.131,0.695,0.061,0.242,0.652,0.034,0.785,0.64
2019,2,02M531,Repertory Company High School for Theatre Arts,485.3,516.3,0.288,0.695,237,3.33,3.13,0.004,0.169,,0.56,0.051,0.418,0.008,0.325,0.46,0.181,0.91,0.311
2019,2,02M533,Union Square Academy for Health Sciences,472.3,474.9,0.191,0.415,414,2.82,2.69,0.075,0.152,0.002,0.83,0.104,0.742,0.114,0.205,0.611,0.065,0.878,0.391
2019,2,02M534,Harvest Collegiate High School,481.7,509.5,0.274,0.585,457,3.06,2.8,0.024,0.252,0.009,0.64,0.072,0.514,0.066,0.21,0.495,0.188,0.861,0.382
2019,2,02M542,Manhattan Bridges High School,480.9,444.6,0.245,0.302,532,2.43,2.67,0.464,0.073,0.006,0.91,0.28,0.776,0.002,0.004,0.989,0.002,0.906,0.294
2019,2,02M543,New Design High School,430,449,0.035,0.256,426,2.66,2.36,0.054,0.263,0.012,0.83,0.129,0.732,0.049,0.345,0.577,0.014,0.827,0.532
2019,2,02M545,High School for Dual Language and Asian Studies,657.2,569.3,0.955,0.864,402,3.27,4,0.134,0.032,,0.78,0.162,0.677,0.91,0.022,0.035,0.022,0.985,0.015
2019,2,02M546,Academy for Software Engineering,522,527,0.472,0.698,459,3.01,2.97,0.041,0.259,0.002,0.68,0.063,0.549,0.102,0.207,0.566,0.109,0.893,0.291
2019,2,02M551,Urban Assembly New York Harbor School,479.4,497.3,0.287,0.553,533,3.04,2.87,0.021,0.229,0.002,0.54,0.068,0.428,0.075,0.173,0.405,0.266,0.891,0.31
2019,2,02M580,Richard R. Green High School of Teaching,462.4,473.4,0.157,0.383,429,2.87,2.61,0.042,0.189,,0.78,0.119,0.655,0.063,0.289,0.599,0.033,0.906,0.227
2019,2,02M600,The High School of Fashion Industries,466.6,493,0.195,0.545,1577,3.05,2.77,0.032,0.162,0.04,0.76,0.107,0.649,0.055,0.313,0.57,0.052,0.901,0.314
2019,2,02M605,Humanities Preparatory Academy,478.8,498.8,0.273,0.561,245,3.05,2.79,0.033,0.204,,0.74,0.2,0.567,0.061,0.216,0.62,0.073,0.836,0.421
2019,2,02M615,Chelsea Career and Technical Education High School,480.5,476.9,0.216,0.412,451,2.91,2.8,0.04,0.195,0.004,0.79,0.102,0.701,0.135,0.215,0.616,0.027,0.852,0.459
2019,2,02M630,Art and Design High School,502.1,520.2,0.355,0.688,1478,3.35,3.15,0.008,0.212,0.013,0.57,0.068,0.444,0.085,0.148,0.539,0.173,0.894,0.295
2019,2,02M655,Life Sciences Secondary School,437.8,458.8,0.103,0.309,425,2.69,2.43,0.104,0.219,0.026,0.86,0.16,0.76,0.073,0.256,0.624,0.038,0.775,0.626
2019,3,03M291,West End Secondary School,,,,,118,3.5,3.42,,0.195,,0.19,0.034,0.11,0.034,0.085,0.195,0.669,0.956,0.085
2019,3,03M299,The Maxine Greene HS for Imaginative Inquiry,424.8,445.2,0.054,0.252,341,2.72,2.42,0.129,0.252,0.029,0.85,0.182,0.757,0.029,0.37,0.531,0.041,0.811,0.571
2019,3,03M307,"Urban Assembly School for Media Studies, The",446.5,449.3,0.102,0.259,407,2.79,2.52,0.054,0.155,,0.85,0.133,0.757,0.025,0.322,0.607,0.02,0.849,0.513
2019,3,03M402,The Urban Assembly School for Green Careers,415,436.3,0.084,0.229,304,2.71,2.44,0.151,0.234,0.007,0.83,0.171,0.734,0.023,0.28,0.589,0.086,0.816,0.558
2019,3,03M403,The Global Learning Collaborative,444.1,450.2,0.091,0.283,414,2.76,2.58,0.123,0.203,0.014,0.85,0.143,0.758,0.019,0.256,0.662,0.051,0.857,0.392
2019,3,03M415,Wadleigh Secondary School for the Performing & Vis,431.1,432.9,0.022,0.222,227,2.82,2.45,0.022,0.211,,0.87,0.185,0.78,0.004,0.537,0.401,0.018,0.867,0.444
2019,3,03M417,Frank McCourt High School,510.1,524.8,0.389,0.747,413,3.25,3.23,0.029,0.213,0.007,0.49,0.039,0.361,0.046,0.136,0.46,0.3,0.914,0.231
2019,3,03M479,Beacon High School,626,641.9,0.725,0.784,1423,3.91,3.98,0.001,0.114,0.013,0.3,0.02,0.189,0.09,0.143,0.197,0.467,0.968,0.054
2019,3,03M485,Fiorello H. LaGuardia High School of Music & Art a,642.4,636.8,0.877,0.937,2760,3.93,4.01,0.002,0.037,,0.3,0.014,0.192,0.195,0.099,0.179,0.455,0.949,0.106
2019,3,03M492,"High School for Law, Advocacy and Community Justic",451.8,472,0.11,0.422,429,2.87,2.57,0.065,0.17,,0.83,0.17,0.734,0.047,0.336,0.573,0.026,0.855,0.42
2019,3,03M494,High School of Arts and Technology,418.1,436,0.051,0.22,492,2.66,2.45,0.087,0.252,0.026,0.85,0.167,0.748,0.063,0.319,0.553,0.039,0.811,0.519
2019,3,03M541,Manhattan / Hunter Science High School,651.7,615.6,0.97,0.94,441,3.84,3.98,,0.138,,0.54,0.041,0.408,0.272,0.163,0.306,0.209,0.974,0.05
2019,3,03M859,Special Music School,543.2,547.9,0.5,0.714,181,3.62,3.51,0.006,0.144,0.006,0.36,0.05,0.182,0.094,0.105,0.155,0.475,0.931,0.222
2019,3,03M860,Frederick Douglass Academy II Secondary School,436.6,441.2,0.041,0.189,290,2.51,2.27,0.107,0.255,0.003,0.88,0.186,0.779,0.021,0.624,0.328,0.017,0.819,0.495
2019,4,04M372,Esperanza Preparatory Academy,420.8,433.8,0.043,0.247,354,2.52,2.32,0.336,0.192,0.085,0.94,0.215,0.847,0.003,0.09,0.893,0.014,0.877,0.413
2019,4,04M435,Manhattan Center for Science and Mathematics,601,569.5,0.772,0.79,1650,3.45,3.58,0.068,0.141,0.004,0.76,0.093,0.628,0.201,0.193,0.533,0.058,0.938,0.163
2019,4,04M495,Park East High School,481.6,483.1,0.211,0.541,389,3.03,2.97,0.041,0.18,,0.78,0.093,0.645,0.067,0.254,0.617,0.026,0.943,0.128
2019,4,04M555,Central Park East High School,554.1,538.5,0.637,0.779,508,3.47,3.53,0.018,0.157,0.002,0.74,0.073,0.61,0.177,0.258,0.494,0.045,0.969,0.067
2019,4,04M610,Young Women's Leadership School,520.1,519.2,0.425,0.616,314,3.28,3.18,0.016,0.178,,0.78,0.054,0.653,0.086,0.239,0.589,0.038,0.938,0.204
2019,4,04M680,"Heritage School, The",446.8,461,0.127,0.352,313,2.6,2.32,0.07,0.22,,0.88,0.163,0.802,0.042,0.265,0.649,0.032,0.886,0.297
2019,5,05M148,Eagle Academy for Young Men of Harlem,,,,,191,2.6,2.24,0.026,0.262,0.042,0.78,0.094,0.66,,0.733,0.22,0.01,0.825,0.588
2019,5,05M157,The Urban Assembly School for Global Commerce,429.4,448.8,0.022,0.239,250,2.57,2.27,0.1,0.276,0.036,0.92,0.144,0.84,0.012,0.492,0.456,0.028,0.766,0.659
2019,5,05M304,Mott Hall High School,441.5,444.1,0.117,0.26,288,2.51,2.27,0.201,0.319,0.021,0.91,0.24,0.826,0.042,0.344,0.569,0.028,0.845,0.389
2019,5,05M362,Columbia Secondary School,649.8,640.1,0.89,0.95,421,3.77,4,0.005,0.133,0.002,0.51,0.043,0.352,0.102,0.181,0.397,0.264,0.924,0.238
2019,5,05M369,Urban Assembly School for the Performing Arts,429.4,444.3,0.053,0.213,387,2.65,2.31,0.075,0.243,0.047,0.87,0.158,0.783,0.008,0.478,0.475,0.008,0.827,0.521
2019,5,05M499,Frederick Douglass Academy,491.6,491.9,0.31,0.552,981,2.88,2.68,0.047,0.16,0.006,0.78,0.129,0.664,0.015,0.69,0.261,0.021,0.891,0.329
2019,5,05M670,Thurgood Marshall Academy for Learning and Social,471.1,491.7,0.198,0.481,386,2.83,2.47,0.039,0.215,0.018,0.77,0.127,0.619,0.018,0.663,0.293,0.008,0.911,0.252
2019,5,05M692,"High School for Mathematics, Science and Engineeri",738.4,677.9,,,491,3.99,4.27,0.002,0.055,,0.4,0.035,0.269,0.297,0.086,0.167,0.301,0.952,0.122
2019,6,06M211,Inwood Early College for Health and Information Te,451.3,445.5,0.155,0.299,414,2.79,2.69,0.116,0.256,0.002,0.82,0.123,0.71,0.005,0.118,0.843,0.014,0.822,0.534
2019,6,06M293,City College Academy of the Arts,555.3,540.1,0.622,0.824,346,3.37,3.45,0.029,0.142,,0.78,0.084,0.671,0.017,0.049,0.89,0.035,0.936,0.185
2019,6,06M346,Community Health Academy of the Heights,463.9,474.1,0.186,0.392,435,2.83,2.55,0.179,0.166,0.002,0.91,0.163,0.802,0.009,0.057,0.915,0.016,0.817,0.511
2019,6,06M348,Washington Heights Expeditionary Learning School,482.8,482.7,0.292,0.483,381,2.9,2.88,0.094,0.189,0.013,0.86,0.147,0.761,0.005,0.045,0.942,0.003,0.892,0.307
2019,6,06M462,The College Academy,415.5,407.7,0.06,0.1,427,2.31,2.18,0.522,0.18,0.026,0.93,0.302,0.81,0.002,0.066,0.899,0.021,0.821,0.518
2019,6,06M463,High School for Media and Communications,399.9,396.5,0.056,0.079,396,2.46,2.14,0.497,0.177,0.003,0.93,0.331,0.818,0.008,0.093,0.876,0.013,0.899,0.221
2019,6,06M467,High School for Law and Public Service,429.2,436.2,0.043,0.171,481,2.51,2.3,0.389,0.258,0.108,0.92,0.27,0.823,0.006,0.139,0.832,0.021,0.799,0.607
2019,6,06M468,High School for Health Careers and Sciences,427.5,415.2,0.099,0.173,423,2.48,2.26,0.411,0.184,0.007,0.92,0.246,0.811,0.019,0.149,0.811,0.012,0.887,0.285
2019,6,06M540,A. Philip Randolph Campus High School,479.4,484.9,0.262,0.485,1503,2.85,2.66,0.142,0.156,0.019,0.86,0.152,0.77,0.055,0.277,0.633,0.023,0.857,0.417
