year,district,DBN,school_name,sat_score,average_score_SAT_math,average_score_SAT_reading,pct_students_SAT_math_college_ready,pct_students_SAT_reading_college_ready,enrollment,homeless,pct_homeless,not_homeless,asian,black,hispanic,white,non_white
2019,9,09X365,Academy for Language and Technology,792.3,400.1,392.2,0.041,0.068,324,0.645,64.5,0.355,,,1,,1
2019,6,06M552,Gregorio Luperon High School for Science and Mathe,822.8,417.4,405.4,0.049,0.097,521,0.418,41.8,0.582,,,1,,1
2019,10,10X342,International School for Liberal Arts,829,417.1,411.9,0.029,0.165,371,0.375,37.5,0.625,,0.003,0.997,,1
2019,19,19K583,Multicultural High School,763.6,388.9,374.7,0.016,0.016,267,0.112,11.2,0.888,,0.019,0.981,,1
2019,12,12X388,Pan American International High School at Monroe,759.9,393,366.9,,0.008,444,0.329,32.9,0.671,,0.005,0.993,,0.998
2019,2,02M542,Manhattan Bridges High School,925.5,480.9,444.6,0.245,0.302,532,0.28,28,0.72,0.002,0.004,0.989,0.002,0.993
2019,24,24Q296,Pan American International High School,787.5,395.6,391.9,0.021,0.028,423,0.182,18.2,0.818,,0.002,0.991,0.002,0.993
2019,9,09X241,Urban Assembly School for Applied Math and Science,929.9,473.8,456.1,0.232,0.293,334,0.117,11.7,0.883,,0.32,0.668,0.006,0.988
2019,6,06M348,Washington Heights Expeditionary Learning School,965.5,482.8,482.7,0.292,0.483,381,0.147,14.7,0.853,0.005,0.045,0.942,0.003,0.987
2019,7,07X223,The Laboratory School of Finance and Technology: X,989,497.6,491.4,0.365,0.506,368,0.109,10.9,0.891,0.008,0.185,0.802,0.003,0.987
2019,9,09X327,Comprehensive Model School Project M.S. 327,986.8,509.3,477.5,0.364,0.455,433,0.152,15.2,0.848,0.002,0.206,0.778,0.014,0.984
2019,4,04M372,Esperanza Preparatory Academy,854.6,420.8,433.8,0.043,0.247,354,0.215,21.5,0.785,0.003,0.09,0.893,0.014,0.983
2019,13,13K594,Gotham Professional Arts Academy,832.8,416.4,416.4,,0.063,178,0.23,23,0.77,0.006,0.775,0.208,0.006,0.983
2019,9,09X263,Validus Preparatory Academy,921.9,456.1,465.8,0.122,0.286,361,0.205,20.5,0.795,0.006,0.316,0.665,0.006,0.981
2019,23,23K644,Eagle Academy for Young Men II,918,457.9,460.1,0.136,0.346,359,0.12,12,0.88,0.011,0.905,0.072,0.003,0.977
2019,17,17K548,Brooklyn School for Music & Theatre,820.9,404.5,416.4,0.03,0.164,296,0.199,19.9,0.801,0.003,0.777,0.199,0.017,0.976
2019,9,09X543,High School for Violin and Dance,803,402.1,400.9,,0.1,253,0.233,23.3,0.767,0.004,0.348,0.628,0.016,0.976
2019,9,09X252,Mott Hall Bronx High School,910.1,450.7,459.4,0.137,0.353,379,0.127,12.7,0.873,,0.261,0.715,0.011,0.976
2019,32,32K545,EBC High School for Public Service - Bushwick,835.3,417.4,417.9,0.047,0.163,479,0.148,14.8,0.852,0.002,0.094,0.881,0.021,0.975
2019,8,08X269,Bronx Studio School for Writers and Artists,916.8,449.9,466.9,0.111,0.333,351,0.16,16,0.84,0.009,0.231,0.744,0.014,0.975
2019,7,07X427,Community School for Social Justice,842.3,411.9,430.4,0.042,0.197,327,0.205,20.5,0.795,,0.229,0.746,0.006,0.975
2019,32,32K552,The Academy of Urban Planning and Engineering,860.6,438.5,422.1,0.038,0.135,231,0.156,15.6,0.844,0.004,0.225,0.749,0.013,0.974
2019,17,17K745,Brooklyn Institute for Liberal Arts,929.1,444.8,484.3,0.083,0.464,415,0.149,14.9,0.851,0.017,0.87,0.104,0.002,0.974
2019,23,23K514,Frederick Douglass Academy VII High School,848.7,421.9,426.8,0.114,0.2,153,0.248,24.8,0.752,0.02,0.85,0.124,,0.974
2019,9,09X250,Eximius College Preparatory Academy: A College Boa,873.2,433,440.2,0.078,0.27,430,0.147,14.7,0.853,0.009,0.321,0.653,,0.974
2019,14,14K685,El Puente Academy for Peace and Justice,848.4,412.9,435.5,0.018,0.286,224,0.143,14.3,0.857,0.004,0.049,0.924,0.004,0.973
2019,7,07X548,Careers in Sports High School,868.4,432.4,436,0.029,0.161,528,0.205,20.5,0.795,0.004,0.292,0.68,0.021,0.972
2019,6,06M346,Community Health Academy of the Heights,938,463.9,474.1,0.186,0.392,435,0.163,16.3,0.837,0.009,0.057,0.915,0.016,0.972
2019,7,07X527,Bronx Leadership Academy II High School,885.3,451.3,434,0.136,0.197,511,0.184,18.4,0.816,0.008,0.266,0.706,0.012,0.972
2019,13,13K412,Brooklyn Community Arts & Media High School (BCAM),881.9,432,449.9,0.081,0.291,421,0.138,13.8,0.862,0.01,0.696,0.276,0.007,0.972
2019,6,06M467,High School for Law and Public Service,865.4,429.2,436.2,0.043,0.171,481,0.27,27,0.73,0.006,0.139,0.832,0.021,0.971
2019,19,19K404,Academy for Young Writers,930,450.4,479.6,0.167,0.389,336,0.11,11,0.89,0.006,0.705,0.265,0.015,0.97
2019,12,12X267,Bronx Latin,885.8,448,437.8,0.121,0.242,338,0.077,7.7,0.923,0.015,0.198,0.772,0.012,0.97
2019,14,14K477,East Williamsburg Scholars Academy,808.8,388.4,420.4,0.012,0.153,304,0.207,20.7,0.793,0.007,0.355,0.615,0.01,0.97
2019,2,02M427,Manhattan Academy For Arts & Language,810,402.9,407.1,0.041,0.149,233,0.433,43.3,0.567,0.009,0.021,0.948,0.021,0.969
2019,7,07X600,Alfred E. Smith Career and Technical Education Hig,837.1,414.7,422.4,0.039,0.165,455,0.182,18.2,0.818,0.004,0.215,0.754,0.015,0.969
2019,6,06M463,High School for Media and Communications,796.4,399.9,396.5,0.056,0.079,396,0.331,33.1,0.669,0.008,0.093,0.876,0.013,0.969
2019,12,12X251,Explorations Academy H.S.,855.5,431.2,424.3,0.11,0.18,326,0.202,20.2,0.798,0.015,0.279,0.69,0.006,0.969
2019,9,09X505,"Bronx School for Law, Government and Justice",943.9,467.2,476.7,0.209,0.395,477,0.13,13,0.87,0.015,0.245,0.723,0.013,0.968
2019,8,08X530,Longwood Preparatory Academy,824.1,410.2,413.9,0.039,0.118,342,0.222,22.2,0.778,0.009,0.345,0.623,0.012,0.968
2019,9,09X329,DreamYard Preparatory School,909.1,436.2,472.9,0.095,0.317,271,0.269,26.9,0.731,0.007,0.273,0.694,0.018,0.967
2019,13,13K350,Urban Assembly School for Music and Art,864.9,419.8,445.1,0.02,0.24,207,0.145,14.5,0.855,0.005,0.739,0.227,0.019,0.966
2019,9,09X404,School for Excellence,822.4,408,414.4,0.032,0.106,326,0.221,22.1,0.779,0.009,0.285,0.681,0.012,0.966
2019,6,06M462,The College Academy,823.2,415.5,407.7,0.06,0.1,427,0.302,30.2,0.698,0.002,0.066,0.899,0.021,0.965
2019,17,17K600,Clara Barton High School,886.4,433.5,452.9,0.097,0.287,1200,0.108,10.8,0.892,0.014,0.892,0.073,0.009,0.965
2019,8,08X559,School for Tourism and Hospitality,847,427.2,419.8,0.048,0.086,299,0.291,29.1,0.709,0.007,0.308,0.656,0.02,0.964
2019,9,09X297,Morris Academy for Collaborative Studies,872.8,432.5,440.3,0.107,0.25,409,0.156,15.6,0.844,0.017,0.269,0.694,0.017,0.963
2019,9,09X525,Bronx Leadership Academy High School,823.1,404.8,418.3,0.007,0.12,565,0.211,21.1,0.789,0.005,0.296,0.667,0.014,0.963
2019,19,19K507,Performing Arts and Technology High School,869.4,426.7,442.7,0.075,0.258,409,0.166,16.6,0.834,0.017,0.599,0.364,0.01,0.963
2019,23,23K493,Brooklyn Collegiate: A College Board School,874.2,435.2,439,0.097,0.242,239,0.151,15.1,0.849,0.013,0.837,0.126,0.004,0.963
2019,12,12X248,"Metropolitan High School, The",789.3,392.8,396.5,0.018,0.08,356,0.239,23.9,0.761,0.011,0.236,0.725,0.017,0.961
2019,14,14K488,Brooklyn Preparatory High School,944.9,470.6,474.3,0.223,0.403,527,0.112,11.2,0.888,0.009,0.433,0.528,0.015,0.961
2019,7,07X221,South Bronx Preparatory: A College Board School,873.8,437,436.8,0.101,0.247,389,0.111,11.1,0.889,0.018,0.257,0.704,0.015,0.961
2019,6,06M211,Inwood Early College for Health and Information Te,896.8,451.3,445.5,0.155,0.299,414,0.123,12.3,0.877,0.005,0.118,0.843,0.014,0.961
2019,14,14K474,PROGRESS High School for Professional Careers,829.9,409.2,420.7,0.032,0.149,674,0.141,14.1,0.859,0.006,0.273,0.688,0.012,0.961
2019,7,07X259,"H.E.R.O. High (Health, Education, and Research Occ",854.2,420.9,433.3,0.064,0.245,530,0.192,19.2,0.808,0.015,0.389,0.572,0.008,0.961
2019,19,19K502,FDNY - Captain Vernon A. Richard High School for F,821.2,408.3,412.9,0.111,0.204,277,0.199,19.9,0.801,0.014,0.697,0.264,0.007,0.961
2019,14,14K586,Lyons Community School,873,428.2,444.8,0.053,0.276,298,0.164,16.4,0.836,,0.302,0.658,0.034,0.96
2019,10,10X225,Theatre Arts Production Company School,922.6,454.2,468.4,0.122,0.415,348,0.141,14.1,0.859,0.023,0.253,0.707,0.017,0.96
2019,6,06M468,High School for Health Careers and Sciences,842.7,427.5,415.2,0.099,0.173,423,0.246,24.6,0.754,0.019,0.149,0.811,0.012,0.96
2019,7,07X670,Health Opportunities High School,877,434.2,442.8,0.066,0.222,497,0.213,21.3,0.787,0.008,0.374,0.586,0.008,0.96
2019,29,29Q283,Preparatory Academy for Writers: A College Board S,919.7,458.2,461.5,0.227,0.309,371,0.059,5.9,0.941,0.03,0.903,0.057,,0.96
2019,7,07X551,The Urban Assembly Bronx Academy of Letters,848.6,415.4,433.2,0.075,0.225,336,0.143,14.3,0.857,0.012,0.295,0.664,0.027,0.959
2019,12,12X684,Wings Academy,808.7,391.9,416.8,0.011,0.087,463,0.184,18.4,0.816,0.004,0.562,0.397,0.015,0.959
2019,12,12X682,Fannie Lou Hamer Freedom High School,832.5,399.5,433,0.017,0.223,471,0.187,18.7,0.813,0.008,0.282,0.677,0.013,0.959
2019,7,07X522,Bronx Design and Construction Academy,845.4,430.3,415.1,0.061,0.092,452,0.201,20.1,0.799,0.002,0.277,0.681,0.018,0.958
2019,18,18K563,It Takes a Village Academy,888,436.8,451.2,0.102,0.299,659,0.096,9.6,0.904,0.018,0.891,0.067,0.011,0.958
2019,9,09X517,Frederick Douglass Academy III Secondary School,864.4,430.8,433.6,0.093,0.196,408,0.265,26.5,0.735,0.012,0.434,0.522,0.017,0.956
2019,18,18K569,Kurt Hahn Expeditionary Learning School,841.6,416.5,425.1,0.022,0.135,294,0.116,11.6,0.884,0.007,0.891,0.065,0.017,0.956
2019,5,05M670,Thurgood Marshall Academy for Learning and Social,962.8,471.1,491.7,0.198,0.481,386,0.127,12.7,0.873,0.018,0.663,0.293,0.008,0.956
2019,9,09X231,Eagle Academy for Young Men,918.9,445.8,473.1,0.121,0.409,291,0.107,10.7,0.893,0.007,0.55,0.405,0.017,0.955
2019,17,17K531,"School for Human Rights, The",886.6,428.2,458.4,0.038,0.308,330,0.127,12.7,0.873,0.021,0.87,0.085,0.012,0.955
2019,13,13K265,Dr. Susan S. McKinney Secondary School of the Arts,888.3,436.6,451.7,0.091,0.255,223,0.148,14.8,0.852,0.018,0.726,0.229,0.009,0.955
2019,17,17K408,Academy of Hospitality and Tourism,835.5,423.4,412.1,0.057,0.171,196,0.153,15.3,0.847,0.005,0.816,0.138,0.036,0.954
2019,2,02M303,"Facing History School, The",853,420,433,0.061,0.232,372,0.172,17.2,0.828,0.011,0.255,0.699,0.022,0.954
2019,32,32K556,Bushwick Leaders High School for Academic Excellen,800.9,403.1,397.8,0.063,0.127,302,0.212,21.2,0.788,0.017,0.199,0.755,0.013,0.954
2019,10,10X437,Fordham High School for the Arts,997.8,499.5,498.3,0.403,0.597,319,0.1,10,0.9,0.016,0.398,0.555,0.022,0.953
2019,5,05M369,Urban Assembly School for the Performing Arts,873.7,429.4,444.3,0.053,0.213,387,0.158,15.8,0.842,0.008,0.478,0.475,0.008,0.953
2019,27,27Q260,Frederick Douglass Academy VI High School,821.1,401.7,419.4,,0.076,346,0.194,19.4,0.806,0.012,0.491,0.462,0.006,0.953
2019,3,03M860,Frederick Douglass Academy II Secondary School,877.8,436.6,441.2,0.041,0.189,290,0.186,18.6,0.814,0.021,0.624,0.328,0.017,0.952
2019,10,10X438,Fordham Leadership Academy,885.7,435.7,450,0.06,0.313,352,0.159,15.9,0.841,0.028,0.256,0.696,0.014,0.952
2019,5,05M499,Frederick Douglass Academy,983.5,491.6,491.9,0.31,0.552,981,0.129,12.9,0.871,0.015,0.69,0.261,0.021,0.951
2019,12,12X521,The Metropolitan Soundview High School,864.5,430.8,433.7,0.102,0.167,423,0.144,14.4,0.856,0.026,0.232,0.719,0.017,0.951
2019,9,09X227,Bronx Collegiate Academy,893.7,439.5,454.2,0.109,0.327,388,0.175,17.5,0.825,0.034,0.232,0.719,0.01,0.951
2019,12,12X479,Bronx Career and College Preparatory High School,848.6,419.6,429,0.071,0.155,268,0.239,23.9,0.761,0.026,0.358,0.593,0.004,0.951
2019,19,19K504,High School for Civil Rights,802.5,390,412.5,0.029,0.087,239,0.238,23.8,0.762,0.021,0.682,0.268,0.017,0.95
2019,7,07X473,Mott Haven Village Preparatory High School,836.7,416.9,419.8,0.013,0.152,315,0.162,16.2,0.838,0.013,0.251,0.698,0.013,0.949
2019,10,10X353,World View High School,822.4,413.1,409.3,0.073,0.211,551,0.167,16.7,0.833,0.011,0.232,0.717,0.007,0.949
2019,5,05M157,The Urban Assembly School for Global Commerce,878.2,429.4,448.8,0.022,0.239,250,0.144,14.4,0.856,0.012,0.492,0.456,0.028,0.948
2019,8,08X312,Millennium Art Academy,866.8,423.2,443.6,0.068,0.252,422,0.154,15.4,0.846,0.014,0.275,0.673,0.024,0.948
2019,12,12X271,East Bronx Academy for the Future,884.5,437.2,447.3,0.079,0.263,388,0.17,17,0.83,0.021,0.255,0.693,0.015,0.948
2019,23,23K697,Teachers Preparatory High School,864.7,417.1,447.6,0.046,0.277,189,0.233,23.3,0.767,0.021,0.783,0.164,0.026,0.947
2019,12,12X511,Bronx Envision Academy,871.4,433.4,438,0.076,0.21,418,0.199,19.9,0.801,0.022,0.337,0.61,0.017,0.947
2019,19,19K422,Spring Creek Community School,890.8,440.8,450,0.125,0.406,303,0.099,9.9,0.901,0.01,0.716,0.231,0.01,0.947
2019,10,10X546,Bronx Theatre High School,858.4,417.3,441.1,0.038,0.228,347,0.196,19.6,0.804,0.012,0.323,0.622,0.026,0.945
2019,10,10X243,West Bronx Academy for the Future,899.4,439.6,459.8,0.071,0.271,327,0.171,17.1,0.829,0.031,0.162,0.783,0.021,0.945
2019,11,11X270,Academy for Scholarship and Entrepreneurship: A Co,858.9,423.4,435.5,0.057,0.189,368,0.163,16.3,0.837,0.016,0.641,0.304,0.019,0.945
2019,10,10X284,Bronx School of Law and Finance,835.3,413.8,421.5,0.038,0.114,369,0.206,20.6,0.794,0.011,0.22,0.724,0.033,0.944
2019,17,17K122,Pathways in Technology Early College High School (,900.3,452.4,447.9,0.121,0.353,581,0.081,8.1,0.919,0.017,0.824,0.119,0.009,0.943
2019,12,12X242,Mott Hall V,944.6,477.8,466.8,0.303,0.414,372,0.075,7.5,0.925,0.051,0.161,0.782,0.005,0.943
2019,10,10X439,Bronx High School for Law and Community Service,926.4,459.3,467.1,0.181,0.458,402,0.152,15.2,0.848,0.012,0.274,0.667,0.025,0.941
2019,7,07X500,Hostos-Lincoln Academy of Science,1027.7,511.9,515.8,0.43,0.527,369,0.1,10,0.9,0.03,0.228,0.713,0.022,0.941
2019,10,10X565,High School for Energy and Technology,867.8,433.3,434.5,0.095,0.2,406,0.18,18,0.82,0.039,0.239,0.702,0.012,0.941
2019,32,32K549,The Brooklyn School for Social Justice,795.6,400.9,394.7,0.01,0.106,335,0.185,18.5,0.815,0.012,0.194,0.746,0.033,0.94
2019,2,02M393,Business Of Sports School,904.6,454.8,449.8,0.066,0.253,429,0.152,15.2,0.848,0.012,0.329,0.611,0.03,0.94
2019,18,18K567,Brooklyn Theatre Arts High School,853,426.2,426.8,0.064,0.192,350,0.109,10.9,0.891,0.023,0.837,0.103,0.02,0.94
2019,6,06M293,City College Academy of the Arts,1095.4,555.3,540.1,0.622,0.824,346,0.084,8.4,0.916,0.017,0.049,0.89,0.035,0.939
2019,9,09X412,Bronx High School of Business,825.7,406.4,419.3,0.017,0.155,275,0.269,26.9,0.731,0.022,0.2,0.738,0.022,0.938
2019,3,03M415,Wadleigh Secondary School for the Performing & Vis,864,431.1,432.9,0.022,0.222,227,0.185,18.5,0.815,0.004,0.537,0.401,0.018,0.938
2019,11,11X544,High School for Contemporary Arts,832.5,413.7,418.8,0.082,0.156,395,0.182,18.2,0.818,0.018,0.395,0.542,0.035,0.937
2019,10,10X524,Crotona International High School,741.8,379.8,362,0.023,,333,0.393,39.3,0.607,0.045,0.06,0.877,0.018,0.937
2019,9,09X403,Bronx International High School,781.3,395.4,385.9,0.011,0.021,418,0.383,38.3,0.617,0.029,0.127,0.809,0.031,0.936
2019,18,18K629,Cultural Academy for the Arts and Sciences,875.7,433.4,442.3,0.1,0.225,282,0.11,11,0.89,0.014,0.84,0.096,0.025,0.936
2019,19,19K660,W. H. Maxwell Career and Technical Education High,849.5,416,433.5,0.039,0.147,376,0.184,18.4,0.816,0.024,0.646,0.29,0.021,0.936
2019,11,11X290,Bronx Academy of Health Careers,834.3,418.1,416.2,0.083,0.19,359,0.223,22.3,0.777,0.039,0.418,0.518,0.011,0.936
2019,16,16K765,Nelson Mandela High School,855,425.6,429.4,0.06,0.164,252,0.179,17.9,0.821,0.016,0.829,0.107,0.008,0.936
2019,10,10X268,Kingsbridge International High School,770,392.8,377.2,0.014,0.014,491,0.411,41.1,0.589,0.033,0.033,0.902,0.026,0.935
2019,16,16K455,Boys and Girls High School,842.3,422.1,420.2,0.079,0.18,439,0.153,15.3,0.847,0.014,0.82,0.114,0.021,0.934
2019,13,13K483,The Urban Assembly School for Law and Justice,937.5,462.2,475.3,0.186,0.412,435,0.094,9.4,0.906,0.025,0.667,0.267,0.018,0.934
2019,18,18K566,Brooklyn Generation School,893.5,437.9,455.6,0.085,0.277,189,0.116,11.6,0.884,0.005,0.81,0.122,0.048,0.932
2019,18,18K576,Victory Collegiate High School,860.3,423.6,436.7,0.013,0.177,341,0.106,10.6,0.894,0.018,0.824,0.106,0.041,0.93
2019,2,02M419,Landmark High School,864.2,421.7,442.5,0.041,0.194,330,0.136,13.6,0.864,0.03,0.339,0.591,0.024,0.93
2019,17,17K382,Academy for College Preparation and Career Explora,909.8,456.9,452.9,0.143,0.222,230,0.161,16.1,0.839,,0.83,0.1,0.022,0.93
2019,9,09X324,Bronx Early College Academy for Teaching & Learnin,1025.9,510.6,515.3,0.397,0.619,272,0.107,10.7,0.893,0.044,0.268,0.662,0.015,0.93
2019,9,09X568,Young Women's Leadership School of the Bronx,1000.2,495.5,504.7,0.313,0.625,285,0.049,4.9,0.951,0.028,0.358,0.572,0.011,0.93
2019,10,10X374,Knowledge and Power Preparatory Academy Internatio,934.4,461.9,472.5,0.179,0.366,464,0.123,12.3,0.877,0.022,0.265,0.664,0.028,0.929
2019,10,10X549,Discovery High School,911.5,462.7,448.8,0.167,0.275,489,0.192,19.2,0.808,0.045,0.166,0.763,0.022,0.929
2019,3,03M307,"Urban Assembly School for Media Studies, The",895.8,446.5,449.3,0.102,0.259,407,0.133,13.3,0.867,0.025,0.322,0.607,0.02,0.929
2019,17,17K546,High School for Public Service: Heroes of Tomorrow,976.5,481.3,495.2,0.24,0.548,462,0.104,10.4,0.896,0.037,0.771,0.158,0.013,0.929
2019,10,10X434,Belmont Preparatory High School,909.2,446.3,462.9,0.138,0.368,390,0.123,12.3,0.877,0.046,0.218,0.71,0.013,0.928
2019,17,17K537,High School for Youth and Community Development at,879.6,429.4,450.2,0.081,0.232,467,0.161,16.1,0.839,0.039,0.784,0.143,0.024,0.927
2019,17,17K590,Medgar Evers College Preparatory School,1124,559.8,564.2,0.709,0.883,897,0.064,6.4,0.936,0.025,0.871,0.056,0.01,0.927
2019,19,19K409,East New York Family Academy,918.9,457.9,461,0.117,0.4,289,0.114,11.4,0.886,0.042,0.623,0.304,0.007,0.927
2019,17,17K539,High School for Service & Learning at Erasmus,868.6,438.2,430.4,0.114,0.19,297,0.104,10.4,0.896,0.03,0.761,0.165,0.027,0.926
2019,10,10X442,"Celia Cruz Bronx High School of Music, The",924.1,447.3,476.8,0.167,0.531,421,0.116,11.6,0.884,0.014,0.266,0.66,0.014,0.926
2019,18,18K617,High School for Innovation in Advertising and Medi,863.8,428.3,435.5,0.098,0.262,240,0.075,7.5,0.925,0.017,0.808,0.117,0.046,0.925
